name	season
ライブオン CARDLIVER 翔	2008年秋
てんぷる	2023年
ぐんまちゃん シーズン2	2023年春
ひろがるスカイ！プリキュア	2023年冬
ゾン100～ゾンビになるまでにしたい100のこと～	2023年夏
ひきこまり吸血姫の悶々	2023年
Call Star -ボクは本当にダメな星？-	2023年冬
夜桜さんちの大作戦	2024年
カワイスギクライシス	2023年春
道産子ギャルはなまらめんこい	2023年
「FLAGLIA」～なつやすみの物語～	2023年冬
おかしな転生	2023年夏
万聖街 (日本語吹替版)	2022年秋
私の推しは悪役令嬢。	2023年
魔術士オーフェンはぐれ旅 アーバンラマ編	2023年冬
ワールドダイスター	2023年春
ブルバスター	2023年
夢見る男子は現実主義者	2023年
デッドマウント・デスプレイ	2023年春
事情を知らない転校生がグイグイくる。	2023年
絆のアリル	2023年
UniteUp!	2023年冬
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。	2023年夏
とんでもスキルで異世界放浪メシ	2023年冬
Buddy Daddies	2023年冬
強くてニューサーガ	2023年夏
天国大魔境	2023年
ジョジョの奇妙な冒険 ストーンオーシャン 第3期	2023年冬
がんばれ！長州くん	2022年夏
REVENGER	2023年冬
ダンジョンに出会いを求めるのは間違っているだろうか IV 深章 厄災篇	2023年冬
アルスの巨獣	2023年冬
山田くんとLv999の恋をする	2023年春
Fate/strange Fake -Whispers of Dawn-	2023年夏
女体化した僕を騎士様達がねらってます	2022年秋
にじよん あにめーしょん	2023年冬
女神のカフェテラス	2023年春
ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～	2023年
魔法使いの嫁 SEASON2	2023年春
機動戦士ガンダム 水星の魔女 PROLOGUE	2022年夏
齢5000年の草食ドラゴン、いわれなき邪竜認定	2023年冬
アンデッドアンラック	2023年
ツルネ ―つながりの一射―	2023年冬
転生王女と天才令嬢の魔法革命	2023年冬
ベルセルク 黄金時代篇 MEMORIAL EDITION	2022年秋
ハーレムきゃんぷっ！	2022年秋
王様ランキング 勇気の宝箱	2023年春
転生貴族の異世界冒険録～自重を知らない神々の使徒～	2023年春
僕の心のヤバイやつ	2023年春
ダークギャザリング	2023年夏
老後に備えて異世界で8万枚の金貨を貯めます	2023年冬
解雇された暗黒兵士 (30代) のスローなセカンドライフ	2023年冬
ある朝、ダミーヘッドマイクになっていた俺クンの人生	2022年秋
シャングリラ・フロンティア	2023年
彼女が公爵邸に行った理由	2023年春
トモちゃんは女の子！	2023年冬
マッシュル-MASHLE-	2023年春
ノケモノたちの夜	2023年冬
SPY×FAMILY 第2クール	2022年秋
マイホームヒーロー	2023年春
ぷれぷれぷれあです4	2022年夏
アキバ冥途戦争	2022年秋
メガトン級ムサシ シーズン1特別篇	2022年夏
氷属性男子とクールな同僚女子	2023年冬
TRIGUN STAMPEDE	2023年冬
白聖女と黒牧師	2023年春
5億年ボタン【公式】～菅原そうたのショートショート～	2022年夏
勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う	2022年秋
【推しの子】	2023年春
PUI PUI モルカー DRIVING SCHOOL	2022年秋
僕とロボコ	2022年秋
咲う アルスノトリア すんっ！	2022年夏
最近雇ったメイドが怪しい	2022年夏
私の百合はお仕事です！	2023年春
久保さんは僕を許さない	2023年冬
KJファイル	2022年夏
冰剣の魔術師が世界を統べる 〜世界最強の魔術師である少年は、魔術学院に入学する〜	2023年冬
おとなりに銀河	2023年
神無き世界のカミサマ活動	2023年
クールドジ男子	2022年秋
お兄ちゃんはおしまい！	2023年冬
異世界はスマートフォンとともに。2	2023年春
D4DJ All Mix	2023年冬
アイドルマスター シンデレラガールズ U149	2023年春
進撃の巨人 The Final Season 完結編（前編）	2023年冬
4人はそれぞれウソをつく	2022年秋
政宗くんのリベンジR	2023年春
真・進化の実 ～知らないうちに勝ち組人生～	2023年冬
彗星のフロイライン 〜プロローグ〜	2022年春
ジョジョの奇妙な冒険 ストーンオーシャン 第2期	2022年秋
Engage Kiss	2022年夏
Opus.COLORs	2023年
恋愛フロップス	2022年秋
RWBY 氷雪帝国	2022年夏
ブッチギレ！	2022年夏
オリエント 第2クール「淡路島激闘編」	2022年夏
ラグナクリムゾン	2023年
少女ヴァニーユ カリブの島で大冒険	2022年冬
永久少年 Eternal Boys	2022年秋
犬になったら好きな人に拾われた。	2023年冬
D4DJ Double Mix	2022年夏
スパイ教室	2023年冬
不徳のギルド	2022年秋
異世界ワンターンキル姉さん ～姉同伴の異世界生活はじめました～	2023年
金装のヴェルメイユ ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～	2022年夏
聖女の魔力は万能です Season2	2023年
HIGH CARD	2023年冬
キャップ革命 ボトルマンDX	2022年春
農民関連のスキルばっか上げてたら何故か強くなった。	2022年秋
NieR:Automata Ver1.1a	2023年冬
ユーレイデコ	2022年夏
忍の一時	2022年秋
デュエル・マスターズ キングMAX	2022年春
黒の召喚士	2022年夏
Extreme Hearts	2022年夏
おにぱん！	2022年春
最強陰陽師の異世界転生記	2023年冬
ちみも	2022年夏
虫かぶり姫	2022年秋
プリマドール	2022年夏
惑星のさみだれ	2022年夏
大雪海のカイナ	2023年冬
エスタブライフ グレイトエスケープ	2022年春
便利屋斎藤さん、異世界に行く	2023年冬
君は放課後インソムニア	2023年春
じゃんたま PONG☆	2022年春
てっぺんっ!!!!!!!!!!!!!!!	2022年夏
お隣の天使様にいつの間にか駄目人間にされていた件	2023年冬
うる星やつら (2022)	2022年秋
リコリス・リコイル	2022年夏
境界戦機 第二部	2022年春
かぎなど シーズン2	2022年春
ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん	2023年冬
マブラヴ オルタネイティヴ 第2期	2022年秋
古見さんは、コミュ症です。2期	2022年春
吸血鬼すぐ死ぬ2	2023年冬
Dr.STONE 龍水	2022年夏
あやかしトライアングル	2023年冬
後宮の烏	2022年秋
豚のレバーは加熱しろ	2023年
メガトン級ムサシ シーズン2	2022年秋
弱虫ペダル LIMIT BREAK	2022年秋
ゴールデンカムイ 第4期	2022年秋
ニンジャラ	2022年冬
ガル学。Ⅱ～Lucky Stars～	2022年冬
英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～	2023年冬
デリシャスパーティ♡プリキュア	2022年冬
神クズ☆アイドル	2022年夏
乙女ゲー世界はモブに厳しい世界です	2022年春
八十亀ちゃんかんさつにっき 4さつめ	2022年春
夫婦以上、恋人未満。	2022年秋
しょうたいむ！2 ～歌のお姉さんだってしたい～	2023年冬
僕のヒーローアカデミア (第6期)	2022年秋
魔都精兵のスレイブ	2023年
インセクトランド	2022年春
もののがたり	2023年冬
パリピ孔明	2022年春
シュート！Goal to the Future	2022年夏
時光代理人 -LINK CLICK-	2022年冬
よふかしのうた	2022年夏
ピーター・グリルと賢者の時間 Super Extra	2022年秋
くノ一ツバキの胸の内	2022年春
文豪ストレイドッグス (第4期)	2023年冬
トニカクカワイイ 第2期	2023年
悪役令嬢なのでラスボスを飼ってみました	2022年秋
シュガーアップル・フェアリーテイル	2023年冬
トモダチゲーム	2022年春
オンエアできない！	2022年冬
SPY×FAMILY	2022年春
イロドリミドリ	2022年冬
3秒後､野獣｡～合コンで隅にいた彼は淫らな肉食でした	2022年春
ちいかわ	2022年春
BIRDIE WING -Golf Girls' Story-	2022年春
シャインポスト	2022年夏
空色ユーティリティ	2021年秋
アークナイツ【黎明前奏/PRELUDE TO DAWN】	2022年秋
東京24区	2022年冬
ラブライブ！スーパースター!! 2期	2022年夏
イジらないで、長瀞さん 2nd Attack	2023年冬
リーマンズクラブ	2022年冬
勇者、辞めます	2022年春
モブサイコ100 III	2022年秋
キングダム 第4シリーズ	2022年春
新テニスの王子様 U-17 WORLD CUP	2022年夏
シャドウバースF	2022年春
ミラキュラス・ワールド／ニューヨーク ユナイテッド・ヒーローズ	2021年冬
闘神機ジーズフレーム	2021年秋
名探偵コナン 犯人の犯沢さん	2022年秋
名探偵コナン ゼロの日常 (ティータイム)	2022年春
トライブナイン	2022年冬
現実主義勇者の王国再建記 第二部	2022年冬
森のくまさん、冬眠中。	2022年夏
王子の本命は悪役令嬢	2022年冬
人間不信の冒険者たちが世界を救うようです	2023年冬
英雄教室	2023年
転生したら剣でした	2022年秋
新米錬金術師の店舗経営	2022年秋
ブラック★★ロックシューター DAWN FALL	2022年春
機動戦士ガンダム 水星の魔女 Season1	2022年秋
魔入りました！入間くん 第3シリーズ	2022年秋
カードファイト!! ヴァンガード overDress Season2	2021年秋
シャドーハウス 2nd Season	2022年夏
組長娘と世話係	2022年夏
平家物語	2022年冬
からかい上手の高木さん3	2022年冬
不滅のあなたへ Season2	2022年秋
ヒロインたるもの！～嫌われヒロインと内緒のお仕事～	2022年春
群青のファンファーレ	2022年春
キミとフィットボクシング	2021年秋
しょうたいむ！～歌のお姉さんだってしたい	2021年秋
The Legend of Heroes 閃の軌跡 Northern War	2023年冬
ブルーロック	2022年秋
ハナビちゃんは遅れがち	2022年夏
ラブオールプレー	2022年春
永遠の831	2022年冬
うちの師匠はしっぽがない	2022年秋
幻想三國誌 -天元霊心記-	2022年冬
阿波連さんははかれない	2022年春
デジモンゴーストゲーム	2021年秋
ハコヅメ ～交番女子の逆襲～	2022年冬
でーじミーツガール	2021年秋
令和のデ・ジ・キャラット	2022年秋
継母の連れ子が元カノだった	2022年夏
サマータイムレンダ	2022年春
メガトン級ムサシ	2021年秋
異世界薬局	2022年夏
真・一騎当千	2022年春
異世界チート魔術師 第13話「宵星の祭りと魔術師」	2021年夏
もういっぽん！	2023年冬
ヴィンランド・サガ  SEASON2	2023年冬
怪人開発部の黒井津さん	2022年冬
社畜さんは幼女幽霊に癒されたい。	2022年春
逆転世界ノ電池少女	2021年秋
ぐんまちゃん	2021年秋
86―エイティシックス― 第2クール	2021年秋
Deep Insanity THE LOST CHILD	2021年秋
聖剣伝説 LEGEND OF MANA -The Teardrop Crystal-	2022年秋
かぎなど	2021年秋
ワッチャプリマジ！	2021年秋
やくならマグカップも 二番窯	2021年秋
異世界おじさん	2022年夏
海賊王女	2021年秋
D_CIDE TRAUMEREI THE ANIMATION	2021年夏
KICK&SLIDE	2021年夏
プリティーオールフレンズセレクション	2021年春
アオアシ	2022年春
ヘアピンダブル	2022年冬
神達に拾われた男2	2023年冬
ルパン三世 PART6	2021年秋
異世界美少女受肉おじさんと	2022年冬
魔法少女マジカルデストロイヤーズ	2023年春
古見さんは、コミュ症です。	2021年秋
オーバーロードⅣ	2022年夏
天官賜福	2021年夏
であいもん	2022年春
ビルディバイド -#FFFFFF-	2022年春
ビルディバイド -#000000-	2021年秋
骸骨騎士様、只今異世界へお出掛け中	2022年春
ダンス・ダンス・ダンスール	2022年春
テスラノート	2021年秋
カッコウの許嫁	2022年春
恋は世界征服のあとで	2022年春
ライアー・ライアー	2023年
進撃の巨人 The Final Season Part.2	2022年冬
魔法使い黎明期	2022年春
180秒で君の耳を幸せにできるか？	2021年秋
ヒーラー・ガール	2022年春
Sonny Boy	2021年夏
異世界食堂2	2021年秋
最果てのパラディン	2021年秋
ジャヒー様はくじけない！	2021年夏
その着せ替え人形は恋をする	2022年冬
このヒーラー、めんどくさい	2022年春
グリム名作劇場	1987年秋
女王陛下のプティアンジェ	1977年秋
ジョジョの奇妙な冒険 ストーンオーシャン	2022年冬
ピノキオより ピコリーノの冒険	1976年春
悪魔島のプリンス 三つ目がとおる	1985年夏
リトル・エル・シドの冒険	1984年冬
愛の学校 クオレ物語	1981年春
大自然の魔獣 バギ	1984年夏
シートン動物記 くまの子ジャッキー	1977年春
まえがみ太郎	1979年
大雪山の勇者 牙王	1978年夏
ワールドトリガー 3rdシーズン	2021年秋
無職転生 ～異世界行ったら本気だす～  第2部	2021年秋
ピクシー・ホロウ・ゲームズ 妖精たちの祭典	2011年秋
ヴィジュアルプリズン	2021年秋
takt op.Destiny	2021年秋
明日ちゃんのセーラー服	2022年冬
ドールズフロントライン	2022年冬
Do It Yourself!! -どぅー・いっと・ゆあせるふ-	2022年秋
半妖の夜叉姫 -戦国御伽草子- 弐の章	2021年秋
SCARLET NEXUS	2021年夏
見える子ちゃん	2021年秋
境界戦機	2021年秋
史上最強の大魔王、村人Aに転生する	2022年春
錆喰いビスコ	2022年冬
魔王学院の不適合者Ⅱ ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～ part1	2023年冬
RE-MAIN	2021年夏
RPG不動産	2022年春
陰の実力者になりたくて！	2022年秋
世界最高の暗殺者、異世界貴族に転生する	2021年秋
魔王イブロギアに身を捧げよ	2021年秋
フットサルボーイズ!!!!!	2022年冬
俺、つしま	2021年夏
リアデイルの大地にて	2022年冬
ぼっち・ざ・ろっく！	2022年秋
ブレイブ・リトル・トースター	1993年春
ひぐらしのなく頃に卒	2021年夏
大家さんと僕 シーズン3	2021年春
赤ちゃん本部長	2021年春
マシンロボ ぶっちぎりバトルハッカーズ	1987年春
ヤマノススメ Next Summit	2022年秋
月とライカと吸血姫	2021年秋
BLUE REFLECTION RAY/澪	2021年春
擾乱 THE PRINCESS OF SNOW AND BLOOD	2021年春
Thunderbolt Fantasy 東離劍遊紀 3	2021年春
はたらく魔王さま！！	2022年夏
マジカパーティ	2021年春
魔法科高校の劣等生 追憶編	2021年秋
探偵はもう、死んでいる。	2021年夏
黒ギャルになったから親友としてみた。	2021年春
鬼滅の刃 遊郭編 (2期)	2021年秋
iiiあいすくりん	2021年春
東京ミュウミュウ にゅ～♡	2022年夏
セブンナイツ レボリューション -英雄の継承者-	2021年春
死神坊ちゃんと黒メイド	2021年夏
オリエント	2022年冬
最遊記RELOAD -ZEROIN-	2022年冬
白い砂のアクアトープ	2021年夏
Vivy -Fluorite Eye's Song-	2021年春
オッドタクシー	2021年春
ブルーピリオド	2021年秋
贄姫と獣の王	2023年春
NOMAD メガロボクス2	2021年春
結城友奈は勇者である ちゅるっと！	2021年春
天才王子の赤字国家再生術	2022年冬
転生賢者の異世界ライフ～第二の職業を得て、世界最強になりました～	2022年夏
失格紋の最強賢者	2022年冬
処刑少女の生きる道	2022年春
ダンジョンに出会いを求めるのは間違っているだろうか IV 新章 迷宮篇	2022年夏
進化の実～知らないうちに勝ち組人生～	2021年秋
アイドリッシュセブン Third BEAT! 第2クール	2022年秋
地獄楽	2023年春
カードファイト!! ヴァンガード overDress	2021年春
新幹線変形ロボ シンカリオンZ THE ANIMATION	2021年春
PUI PUI モルカー	2021年冬
それでも歩は寄せてくる	2022年夏
スローループ	2022年冬
くまクマ熊ベアーぱーんち！	2023年春
大正オトメ御伽話	2021年秋
プラチナエンド	2021年秋
100万の命の上に俺は立っている 第2シーズン	2021年夏
チェンソーマン	2022年秋
可愛いだけじゃない式守さん	2022年春
ダイナ荘びより	2021年春
アイドリッシュセブン Third BEAT! 第1クール	2021年夏
魔法科高校の優等生	2021年夏
アリスインデッドリースクール	2021年冬
月が導く異世界道中	2021年夏
出会って5秒でバトル	2021年夏
プレイタの傷	2021年冬
異世界迷宮でハーレムを	2022年夏
究極進化したフルダイブRPGが現実よりもクソゲーだったら	2021年春
SELECTION PROJECT	2021年秋
プラオレ！～PRIDE OF ORANGE～	2021年秋
さんかく窓の外側は夜	2021年秋
殺し愛	2022年冬
カノジョも彼女	2021年夏
真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました	2021年秋
WAVE!!～サーフィンやっぺ!!～	2021年冬
虚構推理 Season2	2023年冬
佐々木と宮野	2022年冬
じみへんっ!! ～地味子を変えちゃう純異性交遊～	2021年冬
ミュークルドリーミー みっくす！	2021年春
アイカツプラネット！	2021年冬
精霊幻想記	2021年夏
かげきしょうじょ!!	2021年夏
CUE!	2022年冬
バクテン!!	2021年春
火狩りの王	2023年冬
セスタス -The Roman Fighter-	2021年春
NIGHT HEAD 2041	2021年夏
マブラヴ オルタネイティヴ	2021年秋
ゲッターロボ アーク	2021年夏
かぐや様は告らせたい-ウルトラロマンティック-	2022年春
アイドールズ！	2021年冬
邪神ちゃんドロップキックX	2022年夏
幼なじみが絶対に負けないラブコメ	2021年春
憂国のモリアーティ 2クール目	2021年春
ゴジラ S.P <シンギュラポイント>	2021年春
シャドーハウス	2021年春
理系が恋に落ちたので証明してみた。r=1-sinθ	2022年春
宇崎ちゃんは遊びたい！ω	2022年秋
チエちゃん奮戦記 じゃりン子チエ	1991年秋
彼女、お借りします 第2期	2022年夏
ウマ娘 プリティーダービー Season 2	2021年冬
フルーツバスケット The Final	2021年春
闘士ゴーディアン	1979年秋
裏世界ピクニック	2021年冬
薔薇王の葬列	2022年冬
ホリミヤ	2021年冬
ゲキドル	2021年冬
さよなら私のクラマー	2021年春
怪病医ラムネ	2021年冬
SK∞ エスケーエイト	2021年冬
聖女の魔力は万能です	2021年春
まちカドまぞく 2丁目	2022年春
NOBLESSE -ノブレス-	2020年秋
バトルアスリーテス大運動会 ReSTART!	2021年春
かえるのピクルス -きもちのいろ-	2020年秋
プリンセスコネクト！Re:Dive Season 2	2022年冬
体操ザムライ	2020年秋
やくならマグカップも	2021年春
秘密結社 鷹の爪 ～ゴールデン・スペル～	2020年秋
どすこい すしずもう	2021年春
平穏世代の韋駄天達	2021年夏
本好きの下剋上 司書になるためには手段を選んでいられません 第3期	2022年春
ワールドウィッチーズ発進しますっ！	2021年冬
アニメ カピバラさん	2020年秋
オオカミさんは食べられたい	2020年夏
ましろのおと	2021年春
ピーチボーイリバーサイド	2021年夏
結城友奈は勇者である 大満開の章	2021年秋
迷宮ブラックカンパニー	2021年夏
アイドルマスター ミリオンライブ！	2023年秋
灼熱カバディ	2021年春
2.43 清陰高校男子バレー部	2021年冬
東京リベンジャーズ	2021年春
文豪ストレイドッグス わん！	2021年冬
天地創造デザイン部	2021年冬
ふしぎ駄菓子屋 銭天堂	2020年夏
すばらしきこのせかい The Animation	2021年春
イジらないで、長瀞さん	2021年春
先輩がうざい後輩の話	2021年秋
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…X	2021年夏
SHAMAN KING	2021年春
EDENS ZERO	2021年春
Re:ゼロから始める異世界生活 2ndシーズン 第2部	2021年冬
ステイングベイビーズ	2020年春
大家さんと僕 シーズン2	2020年春
賢者の弟子を名乗る賢者	2022年冬
きみのおうちへ	2008年秋
チート薬師のスローライフ ～異世界に作ろうドラッグストア～	2021年夏
女神寮の寮母くん。	2021年夏
トムとジェリー ショー3	2020年冬
超普通都市カシワ伝説R	2020年夏
吸血鬼すぐ死ぬ	2021年秋
俺だけ入れる隠しダンジョン	2021年冬
終末のハーレム	2022年冬
半妖の夜叉姫 -戦国御伽草子-	2020年秋
神様になった日	2020年秋
キングスレイド 意志を継ぐものたち	2020年秋
THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール	2020年夏
いわかける！ -Sport Climbing Girls-	2020年秋
禍つヴァールハイト -ZUERST-	2020年秋
レヱル・ロマネスク	2020年秋
はたらく細胞BLACK	2021年冬
異世界魔王と召喚少女の奴隷魔術Ω	2021年春
無能なナナ	2020年秋
現実主義勇者の王国再建記	2021年夏
キラッとプリ☆チャン シーズン3	2020年春
GETUP! GETLIVE! #げらげら	2020年夏
舞妓さんちのまかないさん	2021年冬
魔術士オーフェンはぐれ旅 キムラック編	2021年冬
ハイキュー!! TO THE TOP 第2クール	2020年秋
僕のヒーローアカデミア (第5期)	2021年春
アサティール 未来の昔ばなし	2020年春
転生したらスライムだった件 第2期 第2部	2021年夏
マギアレコード 魔法少女まどか☆マギカ外伝 2nd SEASON ‐覚醒前夜‐	2021年夏
WIXOSS DIVA(A)LIVE	2021年冬
痛いのは嫌なので防御力に極振りしたいと思います。2	2023年冬
七つの大罪 憤怒の審判	2021年冬
BLEACH 千年血戦篇	2022年秋
ひぐらしのなく頃に業	2020年秋
転生したらスライムだった件 転スラ日記	2021年春
巨人族の花嫁	2020年夏
86―エイティシックス―	2021年春
戦闘員、派遣します！	2021年春
おちゃのじかんのじかんにきたとら	2019年秋
デート・ア・ライブⅣ	2022年春
アクダマドライブ	2020年秋
ガル学。～聖ガールズスクエア学院～	2020年春
100万の命の上に俺は立っている	2020年秋
トニカクカワイイ	2020年秋
魔入りました！入間くん 第2シリーズ	2021年春
戦翼のシグルドリーヴァ	2020年秋
俺の指で乱れろ。～閉店後二人きりのサロンで…～	2020年春
大家さんと僕	2020年冬
内田春菊の呪いのワンピース	1992年夏
神達に拾われた男	2020年秋
別冊オリンピア・キュクロス	2020年春
神之塔 -Tower of God-	2020年春
MARS RED	2021年春
宇崎ちゃんは遊びたい！	2020年夏
ラブライブ！スーパースター!!	2021年夏
LISTENERS	2020年春
富豪刑事 Balance:UNLIMITED	2020年夏
ログ・ホライズン 円卓崩壊	2021年冬
恋と呼ぶには気持ち悪い	2021年春
デジモンアドベンチャー：	2020年夏
メイドインアビス 烈日の黄金郷	2022年夏
ふしぎの国のアリス	1983年秋
UFO戦士ダイアポロン	1976年春
不滅のあなたへ	2021年春
あしたへアタック！	1977年春
若草のシャルロット	1977年秋
くまクマ熊ベアー	2020年秋
オルタンシア・サーガ	2021年冬
ハクション大魔王2020	2020年春
バック・アロウ	2021年冬
ソードアート・オンライン アリシゼーション War of Underworld ‐THE LAST SEASON‐	2020年夏
炎炎ノ消防隊 弐ノ章	2020年夏
真・中華一番！ 第2期	2021年冬
ノー・ガンズ・ライフ 第2期	2020年夏
ひげを剃る。そして女子高生を拾う。	2021年春
文豪とアルケミスト 〜審判ノ歯車〜	2020年春
BEASTARS 第2期	2021年冬
食戟のソーマ 豪ノ皿	2020年夏
憂国のモリアーティ	2020年秋
怪物事変	2021年冬
ぼくたちのリメイク	2021年夏
困ったじいさん	2020年春
ワールドトリガー 2ndシーズン	2021年冬
ラブライブ！虹ヶ咲学園スクールアイドル同好会	2020年秋
