name	writer
三日月が新たくなるまで俺の土地！～マイナー武将「新田政盛」に転生したので野望MAXで生きていきます～	篠崎冬馬
戦武成伝　－武田に転生したと思ったら想像してたのと違う甲斐武田から枝分かれした安芸武田のさらに枝分かれの若狭武田だったので、滅亡しないように武をもって成り上がります－	尾羽内 鴉
【書籍化】令和の化学者・鷹司耀子の帝都転生　～プラスチック素材で日本を救う～【旧題：鷹は瑞穂の空を飛ぶ】	雨堤俊次/コモンレール
本能寺から始める信長との天下統一  ©歴史知識は必要なし ９巻２月２５日発売 オーバーラップ文庫 電撃大王連載中  電撃コミックスNEXT ３巻10/27発売・１８１，０００，０００PV突破	常陸之介寛浩★ＯＶＬ５金賞受賞☆アルファ第4回歴史時代小説読者賞
銭（インチキ）の力で、戦国の世を駆け抜ける。（本編完結）（コミカライズ開始）	Ｙ．Ａ
ルイ16世に転生してしまった俺はフランス革命を全力で阻止してアントワネットと末永くお幸せに暮らしたい【WEB連載版】	スカーレッドG
【漫画単行本発売中】斎藤義龍に生まれ変わったので、織田信長に国譲りして長生きするのを目指します！【本編完結】	巽未頼
織田家の長男に生まれました	いせひこ/大沼田伊勢彦
魯鈍の人（ロドンノヒト）  ～信長の弟、信秀の十男と言われて～	牛一（ドン）
加賀100万石に仕える事になった	シムCM
戦国生存記	現実逃避
陶都物語～赤き炎の中に～	まふまふ
【本編完結】小物武将、木村吉清　豊臣の天下で成り上がる！　(旧題)マイナー戦国武将に転生したのでのんびり生きようと思ったら、いきなり30万石の大名になってしまいました	田島はる
信長の庶子	壬生一郎
武田信虎　～暴君から名君へ～	なんじゃもんじゃ
冬嵐記	槐
戦国時代に転移したと思ったら俺だけRPGだった！	したらば
じゃない孔明転生記。軍師の師だといわれましても	二水うなむ
項羽と劉邦、あと田中	古寺谷 雉
未来から吹いた風　～５人でひっくりかえす太平洋戦争～	青雲あゆむ
痛快娯楽時代劇　小田氏治	藤永太郎
三田一族の意地を見よ	三田弾正
復興名家の仮名目録　～戦国転生異聞～　（旧名：殿と仮名目録の追加案件）	シムCM
風神天翔記　～とある修羅の転生事情～	仏ょも
海道一ノ弓取リ	葉室 貫之
討ち死になんて勘弁な	悠夜
貴族になったが、未来がヤバかった	やがみ
信長公弟記～織田さんちの八男です～【コミカライズ連載中】	彩戸ゆめ
天地海　～無名武将に転生したので天下は諦めて新潟港を発展させる～	今川幸乃
稲荷様は平穏に暮らしたい	茶トラの猫
北政所様の御化粧係〜戦国の世だって美容オタクは趣味に生きたいのです〜	笹倉のり
生まれ変わったら曹昂だった。　前世の知識を活かして宛城の戦いで戦死しないで天寿を全うします	 雪国竜
航空エンジニアのやり直し　～航空技術者は二度目に引き起こされた大戦から祖国を守り抜く～	御代出　実葉
董卓の娘	神奈いです
転生三法師の奮闘記  ～魔王の孫とよばれて〜	夜鷹
六芒星が頂に～星天に掲げよ！ 二つ剣ノ銀杏紋～	縞杜コウ(縞守皐駕)
江雲記―六角定頼に転生した舐めプ男の生涯―	藤瀬慶久
戦国蒸溜所 ～スピリッツ・オブ・バトルエイジ～	漸減サカヤキ
悪役令嬢の十五年戦争　 ～転生先は戦前の日本？！　このままじゃあ破滅フラグを回避しても駄目じゃない！！～	扶桑かつみ
時霞　～信長の軍師～　【長編完結】	水野忠
【文庫化】信長と征く　転生商人の天下取り	入月英一
阿武隈の狼	平良中
首取り物語：北条・武田・上杉の草刈り場でザマァする。ところでみんな・・・・現実を見ようか。こいつらの首取るのは大変なんだヨォ～～～！主人公以外全員ガチです。	天のまにまに
オール・ユー・ニード・イズ・吉良～死に戻りの赤穂事件～	左高例
薬屋のひとりごと	日向夏
婚約破棄の日の夜に	夕景あき
吾輩は魔王であるが、四天王になぜか監禁されている	コーチャー
勇者が死んだので三等書記官は魔王城へ行きます	コーチャー
伯爵夫人の遺書	水谷繭
異世界の名探偵（旧題:ファンタジーにおける名探偵の必要性）	片里鴎(カタザト)
彼ぴっぴしゅきしゅきビーム殺人事件	経済的ゾンビ
レベル１の俺が魔王を倒すと言ったら、みんな笑った。でも、前世が名探偵だったおかげで本当に倒してしまい……	からくらり
聖女様を殺したのは誰ですか？	コーチャー
誰が聖女を殺したか？	榛名丼
勇者一行は死ななければならない	コーチャー
佐伯さんの下着が透けてることを後ろの席の僕だけが知っている〜ところで佐伯さん、毎日帰り際にボソッと下着の色を教えてくるのはなんでなの？〜	麻田セカイ　
王子様は一級死亡フラグ建築士　～城からパクってきた銀のスプーンが黒く変色した件～	藤原ゴンザレス
『飽きた』と書いた紙で異世界に行けたけど、破滅した悪役令嬢の代役だった	枝豆ずんだ
盲目の織姫は後宮で皇帝との恋を紡ぐ	小早川真寛
最高の勇者を殺す一つの方法	コーチャー
時計屋の兎（ラビット）	狭山ひびき
勇者様の死体を見つけちゃったんですけど！	コーチャー
マネーロンダリング～二億円の行方	青い鯖
《連載》ヒロインは途中退場させられましたが、全て元に戻るだなんて、そうは問屋が卸さない	きなこ
キモオタでギャルゲー、それって何の罰ゲーム！？	天満川鈴
囁くヴァニタス	中村 颯希
死に掛け女のぐーたら疫神生活	楠瑞稀
劣等刑事の勘違い逮捕伝　～車で犯人ひきまくってたら出世しました～	馬路まんじ＠PV公開（主人公：赤羽根健治 ヒロイン：逢田梨香子）
【コミカライズ連載中】塔の医学録　～悪魔に仕えたメイドの記～	澁澤まこと
呪われるたび強くなる。スキル『呪具耐性』を授かりました。あれから十数年、名家から追い出された貴族の次男坊。ひとり身おっさんのもんもんスローライフ。	三神カミ
【書籍化、コミカライズ】《第三章完結》愛読家、日々是好日〜慎ましく、天衣無縫に後宮を駆け抜けます〜	琴乃葉
ギルドの受付嬢は人間を殺せない	コーチャー
絶体絶命悪役令嬢	8D
逃走犯はオトコノコ！	青い鯖
異世界クイズ王　～妖精世界と七王の宴～	ＭＵＭＵ
本気で「偽善者」はじめたら、たくさんの人に感謝され、なりゆきで巨大犯罪組織まで壊滅させ、いつの間にか世界70億人の命を救ってたんだが。	実時 彰良
王国の令嬢が帝国に嫁入りするのは、戦争回避のため	白澤　睡蓮
血みどろの婚約破棄は仕組まれていた	白澤　睡蓮
その事件の１人目の被害者は、悪役令嬢である　～サスペンスな世界に転生したら、婚約者か弟か殺人鬼に殺されそうです～	宮崎
アラサーがJKに転生して楽しいのか？	別所 燈 
ステータスが見えるようになった俺は君を絶対に救い出す！　～俺と天使の事件捜査ファイル～	藤原ゴンザレス
イレギュラーな魔術師（旧版）	常高院於初
正しいアイコラの作り方	水月一人
殺人遺伝子	菱川あいず
聖女殺しの婚約者	浮夜海月
人狼メイドはブラック法廷に異議を申し立てる	今際之キワミ
【短編】「また異世界誘拐が流行り始めたんだってよ！」	まほりろ／若松咲良
探偵など要らない学園生活	塚山　凍
勇者の悲劇	コーチャー
異世界医院〜一期一会〜	モロ平野
【書籍化】後宮の嫌われ白蛇妃ですが、推しのためなら悪意も美味しくいただきます！ 〜えーっと、殿下は推しじゃないです。なので溺愛はご遠慮ください〜	碧水雪乃＠『嫌われ白蛇妃』スターツ出版文庫から1/27発売
ギルドの受付嬢は空を見上げる	コーチャー
姫様また誘拐されたんですか	コーチャー
推理令嬢シャーロットの事件簿～謎解きは婚約破棄のあとで～	あけちともあき
オカルトちゃんねる【連載版】	lpp
婚約破棄の行方	彩戸ゆめ
ホラー映画の幼女が魔王の元に召喚されました。	エノコモモ
 クラス転移とか無理なので	芍薬甘草
「真の聖女様、ですか？　ええ、もちろん歓迎いたしますよ」	わんこそば
見たら絶対に死ぬ”呪いのビデオ”を手に入れたのに、幻のマイナー規格”HD-DVD”に録画されてるせいで再生できません（泣）	大萩おはぎ
娘が「悪役令嬢」に憑り殺された日。あるいは、あの子が死んだ日の話	紫苑
今更「許せ」と言われても	アンドレイ
ただひたすら走って逃げ回るお話	残念無念
ゆるコワ！　～無敵の女子高生二人がただひたすら心霊スポットに凸しまくる！～	谷尾銀
召喚聖女の落とし穴	江葉
死刑囚、魔法学校にて教鞭を振るう	無道
神田、おれだよ	ナチ
山内くんの呪禁の夏。	二宮酒匂
クラス全員からいじめを受けている僕は絶対呪われる駅の連絡通路に凸して実況ムービー撮ってきます。	闇黒猫虎
その悪役令嬢は壊れている	伊藤@
【書籍化】妹がいじめられて自殺したので復讐にそのクラス全員でデスゲームをして分からせてやることにした	駆威 命（元駆逐ライフ）【書籍化】妹がいじめられて～発売中
クラス一の美少女が、駅ホームで不思議な踊りを踊っていた	BAWさん
【悲報】時間停止モノAV、９割がヤラセだった	大萩おはぎ
生存者インタビュー	青井青
名前のない怪物	黒木京也
自分がオカズにされた回数が分かる女の子	ヒロモト
ある悪役令嬢への手紙	端野ハトコ
引きこもりだけど、外にゾンビがうろついている	上野羽美
悩める王子と呪いの言葉	長月 おと
悪役令嬢の処刑の、その先は。	しののめ。
ブレーメンの屠殺場	NiO
幼馴染が吊り橋効果を狙って肝試しに行こうと誘って来たから、全部の心霊現象解明してムードもへったくれもない状態にしようと思う	玄武聡一郎
【連載版】御気の毒ですが、呪いが発動しました	猫田 トド
乗っ取られたら乗っ取り返せばいいのですよ、王妃さま。	牧村 多希
もしもサイコパスがデスゲームに巻き込まれたらこうなります	無道
絶対に逃げられない最恐の異世界”きさらぎ駅”の謎を解いて脱出します！	大萩おはぎ
怪異の掃除人	長埜 恵
ループ100回目の悪役令嬢ですのでお望み通りヒロインいじめてみました	にょん
底辺貴族で【スライム召喚】しか出来なくて美少女にイジメられてた俺、キレて顔面に召喚魔法を使ったら脳みそを乗っ取ることに成功　～バレたらやばいので奴隷にした美少女にヨイショさせながら権力を手に入れます～	馬路まんじ＠PV公開（主人公：赤羽根健治 ヒロイン：逢田梨香子）
ヤクザな退魔外伝　神無沼	モロクっち
いきなり、ただの肉屋に騎士がきた	伊藤@
婚約破棄を回避した悪役令嬢は今日から幸せになります。だから、	紫苑
もう人間くらいしか食べる物がないこの世界で、どうして僕らは出会ったのだろう	帰初心
【復讐譚】お姉様に差し上げますわ	茅野ガク
断罪の魔女	ゆうき
亡くなった妻が駅のホームで線路の方に引きずり込もうとしてくる件。	闇黒猫虎
うそつきの子〈山内くんの呪禁事件簿〉	二宮酒匂
悪役令嬢の独白	碓井桂
最近、死神が追いかけて来る夢を見ます。毎晩少しずつ距離が縮まって、次はもう逃げ切れそうにありません。	大萩おはぎ
転生して名もなき雑草になりました。正式名称はアランフィオレンティーナといいますが、誰も呼んでくれません	三香
守護霊（？）は鎌倉武士	ほうこうおんち
本当は怖い異世界物語	馬渡
ヒロイン達が全員俺のことを生理的に無理な話	夜明
顧問の先生が素手で幽霊を殴るんだが、どこかおかしいのだろうか？	くろぬか
リビルドワールド	非公開
マヌケなFPSプレイヤーが異世界へ落ちた場合	地雷原
【書籍第2巻10/5発売！】わしジジイ、齢六十を超えてから自らの天賦の才に気付く【コミカライズ】	しんこせい(『お助けキャラ』1巻2/24発売！)
コボルト無双 ❧ |樹|º▿º*) ̖́- 最底辺のかませ犬が征く!	shiba
異世界支配のスキルテイカー　～　ゼロから始める奴隷ハーレム　～	柑橘ゆすら
異世界ＳＦ！　ＦＰＳ！　『カラフ撤退戦』	黒色粉末
【収納空間】を極める男　～モンスターを狩りたいので誰よりも【収納空間】を使い込んでいたら、色々な事件に巻き込まれてしまう。『俺はモンスターを狩りたいだけなのにぃ！』～	森たん
失格王子の成り上がり冒険譚～出来損ないはいらないと王家を追い出された俺、規格外の『器』で世界最強の冒険者になる～	未来人A
12ハロンのチクショー道【書籍化】	野井ぷら
人型巨大兵器〝に〟転生しました〜冷凍世界再点火〜	白色矮星
俺の家が魔力スポットだった件～住んでいるだけで世界最強～	あまうい白一 
引き籠もりヒーロー	(*■∀■*)
エルフに転生した元剣聖、レベル１から剣を極める -Hero Swordplay Breakdown-	大虎龍真
外れスキル『予報』が進化して『言ったら実現』になる件☆レンガ・レンガ・レンガ！でスローライフしてます	天野優志
チートスキル『死者蘇生』が覚醒して、いにしえの魔王軍を復活させてしまいました〜誰も死なせない最強ヒーラー〜	はにゅう@『木の実マスター』発売中！
アルケミスト・スタートオーバー ～誰にも愛されず孤独に死んだ天才錬金術師は幼女に転生して人生をやりなおす～	エルトリア
迷宮で石ころは光り輝く	乙黒
イマドキのサバサバ冒険者	埴輪庭
啼かないカナリアの物語　～ 声を出せない魔法使いと模造の小鳥の探しもの ～	綾村実草【カナリア第一巻発売中です！】　
希望のクライノート　～魔法戦士は異世界限定ガチャを回す～	オスカる
『灰色乙女の流離譚』　私は自分探しの旅に出る【完結】　	ペルスネージュ
王宮の仕事を追放された魔導具使いの俺は幼少期の男の友情を信じて昔の仲間たちに集まってもらったらなぜかハーレムパーティになっていた。今更戻れと言われても…やっぱ遅くね？	LENA
【最終章開幕】傷跡の聖者	イエニー・コモリフスキ
勇者代理なんだけどもう仲間なんていらない	ジガー
[完結しました！] 僕は、お父さんだから（書籍名：遺伝子コンプレックス）	舛本つたな
鋼鉄のアイ	大紀直家@パブロン
召喚世界のアリス	天野ハザマ
婚約破棄されたので全員殺しますわよ ～素敵な結婚を夢見る最強の淑女、２度目の人生～	とうもろこし
魔導機人アルミュナーレ	凜乃　初
 英雄《しゅやく》になれない槍使い	笹木さくま（夏希のたね）
魔法少女のヒーロー	てふてふてふ
ラドゥと旅路と獣狩り	あびすけ
帰還者《リターナー》は平穏に暮らせない	幽霊@ファベーラ
ラグナロク	安井健太郎
勇者の称号を剥奪されたおっさん、これ幸いとバカンスに行った先で魔王さんと遭遇する　～夏のあばんちゅーる～	ぽんこつ少尉
出涸らし王子と悪役令嬢――ＶＲＭＭＯＲＰＧの世界に転生したかったのに、乙女ゲーの世界で悪役令嬢の婚約者をやっている僕	成瀬真
骸鬼王と、幸福の花嫁たち【第9部、二日置き更新！】	雨宮ソウスケ
黄金の国の狩人	神誠
白銀のヘカトンケイル	北十五条東一丁目
【完結】国賊王女のサーバントに転生したら、特殊スキル「武器庫（アーモリー）」が覚醒しました！	石和￥
C級師匠のS級冒険者育成計画	風緑
石ころ冒険者	亜蒼行
ハーフ・ヴァンパイア創国記	高城@SSK
青年と犬と、もう一人	Schuld 
たとえ夜を明かすのに幾億の剣戟が必要だとしても【Web版】（書籍版タイトル:幾億もの剣戟が黎明を告げる）	御鷹穂積
チートを拒否した最強魔術士。転移先で無能扱いされるが最強なので何の問題もなかった	やとぎ
日常系アニメとカマキリ拳法〜武術を身につけた最強のアニオタが、無双しながらアニオタライフを楽しむ話〜	魔人ボルボックス
私、竜の巫女の見習い！　今日もお仕事頑張りますっ！！	波多野まな
戦禍切り裂け、明日への剣聖 ⚔ The Knight Wizards!!	shiba
生産職を極め過ぎたら伝説の武器が俺の嫁になりました	あまうい白一 
即死チートが最強すぎて、異世界のやつらがまるで相手にならないんですが。【TVアニメ化決定！】	藤孝剛志
「第二王子が婚約破棄したってよ！」	八月 あやの
「いいか、ハーレムっていうのはな！」	八月 あやの
【書籍化】後宮という名の魔境をデスループで切り抜けてきたら、皇帝にブチ切れられました	かざなみ
【書籍化】廃公園のホームレス聖女	荒瀬ヤヒロ
大根ですが、おでんパーティから追放されました。パーティの野菜成分を俺が一手に担っていたんだが、大丈夫かな	ななみや
子どもが書いた夏休みの作文が、ファンタジーすぎる件	Aska
王太子に婚約破棄されていたら「ずるいずるい」という妹が乱入してきました。	荒瀬ヤヒロ
【奇跡のコミカライズ！】婚約者は私を捨てて妹を選びましたが、妹は時限爆弾でした【作者の日常も吹っ飛びました！】	関宮亜門
オットー・フォン・ハイデッカーはゲーム脳。	王石　勉
【書籍化・コミカライズ】偽・聖剣物語　～幼なじみの聖女を売ったら道連れにされた～	溝上 良
女神『異世界転生何になりたいですか』　俺「勇者の肋骨で」	安泰
そのガーゴイルは地上でも危険です　～翼を失くした最強ガーゴイルの放浪記～　	大地の怒り
親戚の小学生の算数の文章題がおかしい	唯乃なない
転生吸血鬼さんはお昼寝がしたい	ちょきんぎょ。
『男女比 １：３０ 』 世界の黒一点アイドル	ヒラガナ
クソ雑魚メンタルなTS娘はマッマの所為でVTuberデビュー	totto
ラスボスの向こう側～最強の裏ボス＝邪神に転生したけど、１０００年誰も来ないから学園に通うことにした～	天音のわる
「私って男っぽくてサバなのよね」誰なんだよ俺との見合いにサバを呼んだやつは	quiet
笑顔で魔力チャージ～無限の魔力で異世界再生	三木なずな
妹の配信に入り込んだらVTuber扱いされた件	江波界司
教会務めの神官ですが、勇者の惨殺死体転送されてくるの勘弁して欲しいです【連載版】	夏川優希
追放された聖女様は、とりあえず昼寝することにした	優木凛々
異世界で美少女になった俺、地球に戻れたので裏垢やってみる。	貯水庫
百万回転生した俺は、平和な世界でも油断しない	稲荷竜
裏側からこの状況を説明します	徒然花
転生して天才子役になってみたけど、もうやめたいです。	インド人を右に
となりの魔王	ナチ
異世界ガーデニング　－アルの造園物語－	乾物屋
超実力主義な勇者パーティ	優木凛々
古竜なら素手で倒せますけど、これって常識じゃないんですか？　（きょとん）	羽田遼亮
異世界召喚が多すぎて女神様がぶちギレました【連載版】	湯立向日/ガタガタ震えて立ち向かう
悪徳領主ルドルフの華麗なる日常	増田匠見（旧master1415）
俺は偽勇者～仲間と別れて早数年、なんか復讐されかけている～	藍澤 建
【短編】追放した回復術師が、ハーレムを連れて「ざまぁ」と言いに来た	夏目くちびる
最低皇子たちによる皇位争『譲』戦　～貧乏くじの皇位なんて誰にでもくれてやる！～	榎本快晴
「さあ、回復してやろう」と全回復してきた魔王様、ついに聖女に転生する	延野正行
冒険者「伝説の聖剣を手に入れた……よし売ろう！」	麦酒
夜道でいかにも幽霊っぽい女性を乗せたので、とりあえずコーナー攻めてみた	燦々SUN
多分僕が勇者だけど彼女が怖いから黙っていようと思う	花果 唯
クラス召喚されたけどそれどころじゃない	燦々SUN
その令嬢は祈りを捧ぐ	ユウキ
「これは契約結婚だ。君は何もする必要はない」と言い渡された侯爵夫人、「ただの契約なら複数と結んでも良くない？」と気付き片っ端からお飾り結婚契約締結、大惨事へ	quiet
義妹に虐げられる不憫姉の中身が悪女に乗っ取られた話	りったん
【短編】寡黙な戦士、追放に同調する～だって、もう遅いが見たかったんだもん～	大紀直家@パブロン
王子！　婚約破棄がどうとか以前に誰とも婚約できないまま学園生活終わっちゃったッスよ！	quiet
あなたが拾ったのは普通の女騎士ですか？　それともゴミクズ系女騎士ですか？	溝上 良
「一万人の男と寝た」と豪語する令嬢と結婚した僕、生まれた娘が僕と血は繋がってないことはもちろん承知してるけど、鑑定魔法で「娘の本当の父親が誰かは明らかにしておこう」と言ったら妻が猛烈に焦り始めた	エタメタノール
不死王の息子	日向夏
マンガを読めるおれが世界最強～嫁達と過ごす気ままな生活	三木なずな
シャングリラ・フロンティア〜クソゲーハンター、神ゲーに挑まんとす〜	硬梨菜
出遅れテイマーのその日ぐらし	棚架ユウ
新しいゲーム始めました。～使命もないのに最強です？～	じゃがバター
痛いのは嫌なので防御力に極振りしたいと思います。	夕蜜柑
【堂々完結】ブレイドスキル・オンライン　～ゴミ職業『サモナー』で最弱武器『弓使い』でクソステータス『幸運値極振り』の俺、いつのまにか『ラスボス』に成り上がります！～	馬路まんじ＠PV公開（主人公：赤羽根健治 ヒロイン：逢田梨香子）
＜Infinite Dendrogram＞-インフィニット・デンドログラム-	海道　左近
サモナーさんが行く	ロッド
Free Life Fantasy Online ～人外姫様、始めました～	子日あきすず
Only Sense Online	アロハ座長
『Curse Nightmare Party』-邪眼妖精が征くVRMMO	栗木下
未実装のラスボス達が仲間になりました。	ながワサビ64
骸骨魔術師のプレイ日記	毛熊
打撃系鬼っ娘が征く配信道！	箱入蛇猫
黄金の経験値【なろう版】	原純
Magica Technica　～剣鬼羅刹のVRMMO戦刀録～	Ａｌｌｅｎ
【書籍二巻発売中‼】お前のような初心者がいるか！　不遇職『召喚師』なのにラスボスと言われているそうです【Web版】	魚虎・瀧岡くるじ
ゲート・オブ・アミティリシア・オンライン	翠玉鼬
設定鍵インベントリア：シャンフロの諸々	硬梨菜
Frontier World ―召喚士として活動中―	ながワサビ64
射程極振り弓おじさん	草乃葉オウル
美少女になったけど、ネトゲ廃人やってます。	星屑ぽんぽん
職業、仕立屋。淡々と、VRMMO実況。	わだくちろ
ＶＲＭＭＯの支援職人　～トッププレイヤーの仕掛人～	二階堂風都
最新のゲームは凄すぎだろ	うきせくさこ
やがて最強のPKキラー（職業：商人）【旧題：やがて最強のPKK（職業：商人）】	aaa168
テイマー姉妹のもふもふ配信　～もふもふをもふもふする最愛の妹がとってもかわいいので配信で自慢してみます～	龍翠
もふもふと楽しむ無人島のんびり開拓ライフ ～VRMMOでぼっちを満喫するはずが、全プレイヤーに注目されているみたいです～（旧題：Iris Revolution Online）	紀美野ねこ
アインの伝説　～気づいた時にはもう遅い？　転生したら滅んだ村の生き残りで、勇者の幼なじみなのになかなか名前を思い出してもらえないという極めつけの脇役だったんだけどさ、どうしたらいいと思う？～	相生蒼尉
ジェノサイド・オンライン 〜極悪令嬢のプレイ日記〜	たけのこ
Mebius World Online　〜ゲーム初心者の真里姉と行くVRMMOのんびり？　体験記〜【コミカライズ３巻２０２３年１月７日発売！】【小説１〜３巻発売中】	風雲　空
Hunter and Smith Online	栗木下
ランダムでキャラを作ったんだが詰んだかもしれない	牡羊座の山羊
《Blade　Online》	夜之兎/羽咲うさぎ
掲示板の皆さま助けてください	いそがばまわる
元最強女番長が征く！VRMMO放浪記 -a Faraway Arcadia Online-	ツナ82
えむえむおー！　僕なりの楽しみ方	鴨鹿
【2023/01/10発売】『ライフで受けてライフで殴る』これぞ私の必勝法	こまるん
引っ込み思案な神鳥獣使い ―プラネット イントルーダー・オンライン―	古波萩子
《完結》『Hereafter Apollyon Online』～超高クオリティクソゲーの生産職で巨大ロボット造って遊ぼうとしてるのですが何故か勘違いされます～	西沢東＠コミカライズ企画進行中！
変態ＰＳさんのＶＲ冒険譚	猫又　寝子
ソロ神官のVRMMO冒険記　～どこから見ても狂戦士です本当にありがとうございました～	原初
Skill Build Online ～変態スナイパーによるMMORPG挑戦記～	立華凪
ギスギスオンライン	ココナッツ野山
【漫画単行本3巻発売中】神獣郷オンライン！〜『器用値極振り』で聖獣と共に『不殺』で優しい魅せプレイを『配信』します！〜	時雨オオカミ
最強の女傭兵　近未来でスポーツ美少女となる	のこのこ大王
Ｒ．Ｇ．Ｏ！	旭／星畑旭
城落としとサバイバル	Ceez
読書好きが始めるVRMMO（仮）	天　トオル
ガイド役の天使を殴り倒したら、死霊術師になりました　～皆とは別ゲーをしている気がしますが、私は元気です～	エリーゼ
アナザー・フロンティア・オンライン　～生産系スキルを極めたらチートなNPCを雇えるようになりました～	ぺんぎん
俺は星間国家の悪徳領主！	三嶋　与夢
目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい	リュート
あたしの悪徳領主様!!　～俺は星間国家の悪徳領主！　外伝～	三嶋　与夢
【４巻発売】乙女ゲームのハードモードで生きています	赤野用介
【連載版】キモオタモブ傭兵は、身の程を弁(わきま)える	土竜
私掠宇宙船から始める特務軍歴	中文字
僕と彼女と実弾兵器（アンティーク）	Gibson
完結&amp;番外編更新中　宇宙戦争掲示板ー1人なんかおかしいのがいるけどー	福郎
III count  Dead END	吹雪
死んでやる～彼女を寝取られ、死ぬに死にきれないヘタレが巻き起こす宇宙活劇～	のらしろ
宇宙船をもらった男、もらったのは星だった！？	山口遊子
カタツムリの貨客船業務日誌	土竜
若者のスペースオペラ離れを嘆く女神様に宇宙船をもらったんだが、引きこもるにはちょうどいい	小鳥遊彰吾
魔王と勇者が時代遅れになりました	結城忍
堕ちた大地で冒険者〜チート技術と超速レベルアップによる異星無双〜	謙虚なサークル
追放された伯爵公子は、超文明の宇宙要塞を手に入れました。	いつき旧太郎
アルビオン王国宙軍士官物語～クリフエッジと呼ばれた男～（クリフエッジシリーズ合本版）	愛山　雄町
ネメシス戦域の強襲巨兵【新刊7巻発売】	夜切　怜
なんかすごい性能の宇宙船を拾った	工具
エルフ・インフレーション　～際限なきレベルアップの果てに～	細川　晃
銀河ネットで仮想空間に潜ったら宇宙船の艦長に成りました。	戸川　八雲
【短編】ファンタジー用チートで万全の準備をしたのに転移したのはＳＦの世界でした。	東堂大稀（旧：To-do）
惑う星の解決法	守野伊音
【大】魔導師様、目覚める！	そういち
日雇い提督は仁愛を得て英雄へと至る	桜華　絢爛
不運なソーヤの運送屋	橋広功
クビにされた元エースパイロットが死んだ婚約者そっくりの幼女を引き取って親子になる話	梅上
ようこそ大宇宙へ！　超古代の巨大宇宙船で宇宙を征く	稲葉小僧
34歳のオッサンによるフォルトリア星系戦記	八鶴ペンギン
月にうさぎはいないけど、誰にも言えない秘密がある	優木凛々
日雇い提督・Ⅱ　神将は独立勢力を創始する～集結せよ！銀河の梁山泊へ～　　　　　　　　	桜華　絢爛
ギガファウナ　―超巨大生物の惑星―	白石健司
キモオタモブ傭兵は、身の程を弁(わきま)える	土竜
【一章完結】 AI使いの冒険者、ドローンとハッキングで無双する　～手段を選ばず金儲けしていたら宇宙一の大富豪になっていました～	田島はる
